original experiment,Qualtrics no.,supporting party,focus,p1,p2,p3,p4,p5,v1,v2,v3,v4,v5,sum,threshold,outcome,trial_exp2,person
Tobi,1,Republican,2,1,1,1,0,0,1,1,1,1,1,5,5,1,162,1
Tobi,2,Democratic,3,1,1,1,1,1,1,1,1,1,1,5,1,1,58,1
Tobi / Antonia,3,Republican,1,0,0,0,0,0,1,1,0,0,0,2,1,1,33,1
Tobi / Antonia,4,Republican,1,0,0,0,0,0,1,0,0,0,0,1,1,1,32,1
Tobi,5,Republican,2,1,1,1,1,1,1,1,1,1,1,5,5,1,170,1
Tobi,6,Democratic,2,1,1,0,0,0,1,0,1,0,0,2,5,0,154,2
Tobi,7,Republican,4,0,0,0,0,0,1,0,0,0,0,1,5,0,144,2
Tobi,8,Democratic,3,1,1,1,0,0,1,1,0,0,0,2,4,0,130,3
Tobi,9,Republican,1,1,1,1,0,0,1,1,1,1,1,5,1,1,50,1
Tobi,10,Democratic,3,1,1,1,0,0,1,1,0,0,0,2,3,0,102,3
Tobi,11,Republican,5,1,0,0,0,0,0,0,0,0,0,0,1,0,34,2
Tobi,12,Democratic,1,1,1,0,0,0,1,1,0,0,0,2,2,1,69,1
Tobi,13,Republican,2,1,1,1,1,0,1,1,1,0,1,4,4,1,138,1
Tobi,14,Democratic,4,1,0,0,0,0,1,1,1,0,0,3,5,0,150,4
Tobi,15,Republican,3,0,0,0,0,0,0,0,0,0,0,0,2,0,59,1
Tobi,16,Democratic,2,1,0,0,0,0,1,1,0,0,0,2,2,1,65,2
Tobi,17,Republican,4,1,1,1,0,0,1,1,1,1,0,4,4,1,133,4
Tobi,18,Democratic,2,1,1,0,0,0,0,0,0,0,0,0,5,0,151,1
Tobi,19,Republican,2,0,0,0,0,0,0,0,0,0,0,0,3,0,87,1
Tobi,20,Democratic,2,1,1,0,0,0,1,1,1,1,0,4,3,1,100,1
Tobi,21,Republican,3,0,0,0,0,0,1,0,0,0,0,1,4,0,116,2
Tobi,22,Democratic,4,0,0,0,0,0,1,0,0,0,0,1,2,0,60,2
Tobi,23,Democratic,5,1,0,0,0,0,1,0,0,0,0,1,3,0,91,2
Tobi,24,Democratic,4,1,1,1,1,0,1,1,0,0,0,2,4,0,135,3
Antonia,25,Democratic,5,1,0,0,0,0,0,1,1,1,1,4,1,1,,5
Antonia,26,Republican,5,1,1,0,0,0,0,0,1,1,1,3,2,1,,5
Antonia,27,Democratic,5,0,0,0,0,0,1,1,1,1,1,5,2,1,,5
