participant,duration,condition,1,2,3,4,5,bad,neutral,good,strategy,gender,age
1,511,1,20,20,20,20,20,1,0,0,Because it was anonymous I assigned each member 20% responsibility,2,28
2,806,1,100,100,100,100,100,1,0,0,If you voted for then I feel you are responsible.,2,32
3,197,1,100,92,25,33,20,1,0,0,Mostly mathematically based on the number of yes/no votes.,1,19
4,344,1,100,100,100,50,50,1,0,0,1 vote / total # of votes required to pass    the most important factor was how many votes were required to pass it,1,22
5,190,1,100,100,100,100,100,1,0,0,What they had voted for,2,32
6,337,1,100,100,100,100,100,1,0,0,They voted for corporate punishment so they are responsible for it to be introduced. ,2,31
7,550,1,100,100,100,100,100,1,0,0,"If they voted for the outcome, they were 100% responsible as thy had no idea how anyone else voted, for all they knew they could have been the one person needed to carry the motion",2,34
8,297,1,100,100,100,100,100,1,0,0,If someone voted in favour then they were totally responsible. ,2,27
9,155,1,99,52,40,34,20,1,0,0,Split it,2,33
10,264,1,93,89,29,28,29,1,0,0,All committee members have equal responsibility regardless of the decision they made,2,25
11,176,1,100,66,68,65,69,1,0,0,amount needed to decide,2,33
12,238,1,100,50,25,33,20,1,0,0,"How many people voted, and whether they were in the majority.",2,27
13,422,1,100,100,100,80,100,1,0,0,If it only takes one vote to pass then the person is obviously responsible.  ,3,25
14,466,1,100,100,100,50,50,1,0,0,I was concerned with how many votes were required for the motion to be passed. If only one was required then I do not think that if 2 people voted in favour then those two could share the responsibility. As only one was needed then any vote would have resulted in the motion being passed. ,1,28
15,371,1,100,100,82,100,100,1,0,0,"If they had a hand in being responsible for it's introduction, then generally they should accept full responsibility for the measure. You can't diminish responsibility due to this, though I did soften my stance a bit at the end.",1,30
16,328,1,100,100,100,100,100,1,0,0,There wasn't a strategy - if they voted for corporal punishment then they were very much responsible - how can it be any other way?,2,27
17,285,1,100,100,100,100,100,1,0,0,"If they voted for, they were 100 responsible for the decision and their actions ",2,25
18,348,1,100,100,100,100,100,1,0,0,They voted for corporal punishment,2,27
19,212,1,93,75,71,40,70,1,0,0,How many chose to vote for punishment,2,25
20,204,1,100,100,100,100,100,1,0,0,"If they voted yes, they were responsible for it, no matter how many votes it took to pass. They still supported the action. ",2,26
21,217,1,100,100,100,100,50,1,0,0,Each member made a decision and they are completely responsible for that.,2,33
22,234,1,100,50,75,75,70,1,0,0,Overall how many votes were needed to pass the motion.,2,26
23,619,1,51,49,26,25,25,1,0,0,How many people said yes influenced my desicion,2,19
24,224,1,100,99,99,100,99,1,0,0,everyone is 100% responsible for their own vote and therefore the outcome,2,31
25,389,1,100,84,54,66,53,1,0,0,More people agree less individual responsibility.     Less people agree more individual responsobility ,1,30
